city,country,lat,lng,date,temp,humidity,cloudiness,wind_speed
Lempäälä,FI,61.32,23.75,1583821268,36.91,100,90,8.05
Keflavik,IS,64.0,-22.56,1583821268,32.0,54,100,18.34
Ambulu,ID,-8.35,113.61,1583821268,83.32,78,24,13.53
Druzhinino,RU,56.79,59.51,1583821268,32.56,98,87,3.2
Liepāja,LV,56.54,21.04,1583821188,41.0,100,90,10.29
Manono,CD,-7.3,27.42,1583821268,71.98,95,91,0.81
Vitina,BA,43.24,17.48,1583821268,41.0,72,20,3.36
Khangarh,PK,29.92,71.16,1583821269,71.6,56,1,3.49
Zyryanovsk,KZ,49.74,84.27,1583821269,13.84,56,100,2.1
Kidal,ML,18.44,1.41,1583821269,63.34,11,100,11.79
Klaksvík,FO,62.23,-6.59,1583821269,41.0,80,100,16.11
Qaqortoq,GL,60.72,-46.03,1583821269,23.0,67,98,3.36
Straumen,NO,63.87,11.3,1583821269,33.19,92,85,11.41
Belmonte,BR,-15.86,-38.88,1583821269,75.2,88,75,5.82
Kaitangata,NZ,-46.28,169.85,1583821269,51.42,83,100,4.0
Merauke,ID,-8.47,140.33,1583821156,89.26,64,45,12.08
Nizhniy Tsasuchey,RU,50.52,115.13,1583821270,26.62,57,0,7.45
Totness,SR,5.88,-56.32,1583821270,78.46,73,61,13.91
Vestmannaeyjar,IS,63.44,-20.27,1583821270,33.28,63,100,15.05
Vokhtoga,RU,58.81,41.05,1583821270,36.16,88,97,6.85
Rocha,UY,-34.48,-54.33,1583821270,57.58,93,9,3.65
Chokurdakh,RU,70.63,147.92,1583821270,-27.38,94,64,4.45
Sangar,RU,63.92,127.47,1583821270,2.5,89,100,11.68
Alnashi,RU,56.19,52.48,1583821271,32.02,95,92,4.52
Plérin,FR,48.54,-2.78,1583821271,52.77,100,90,16.11
Hrubieszów,PL,50.8,23.89,1583821271,36.52,81,48,3.36
Mayya,RU,61.73,130.28,1583821271,12.2,56,100,6.71
Narsaq,GL,60.92,-46.05,1583821271,23.0,67,100,3.36
Nerchinskiy Zavod,RU,51.31,119.61,1583821271,16.36,88,84,6.69
Qui Nhon,VN,13.77,109.23,1583821271,92.86,53,0,10.29
Najrān,SA,17.49,44.13,1583821271,66.2,29,5,6.93
Krasnoarmeysk,RU,51.02,45.7,1583821272,43.0,81,90,3.0
Afuá,BR,-0.16,-50.39,1583821272,75.94,88,100,9.46
Lagoa,PT,39.05,-27.98,1583821272,62.08,78,100,19.26
Mercedes,AR,-34.65,-59.43,1583821272,64.87,93,100,4.0
La Tuque,CA,47.43,-72.78,1583821076,23.2,96,100,9.71
Tocopilla,CL,-22.09,-70.2,1583821272,62.44,51,100,2.93
Vulturu,RO,45.62,27.42,1583821272,50.0,81,75,16.11
Leh,IN,34.17,77.58,1583821272,15.64,29,94,1.52
Port Hedland,AU,-20.32,118.57,1583821273,95.0,50,0,10.29
Mattawa,US,46.74,-119.9,1583821273,34.56,64,1,2.17
Port Augusta,AU,-32.5,137.77,1583821273,86.5,30,0,12.75
Locri,IT,38.24,16.26,1583821273,48.99,81,20,1.12
Vardø,NO,70.37,31.11,1583821273,35.6,80,75,25.28
Okato,NZ,-39.2,173.88,1583821273,60.44,76,5,7.0
Mitú,CO,1.2,-70.17,1583821273,71.98,98,38,0.78
Luwuk,ID,-0.95,122.79,1583821273,84.22,74,41,14.14
Mahajanga,MG,-15.72,46.32,1583821273,86.0,79,20,2.24
Havelock,US,34.88,-76.9,1583821274,57.38,77,1,5.82
Srednekolymsk,RU,67.45,153.68,1583821274,-9.2,93,100,4.94
Bronzani Majdan,BA,44.79,16.93,1583821274,37.4,86,88,3.36
Richards Bay,ZA,-28.78,32.04,1583821274,74.5,80,0,5.91
Surgāna,IN,20.57,73.62,1583821274,80.44,47,24,11.07
Birin,NP,26.89,88.07,1583821274,55.78,71,23,6.11
Karpogory,RU,64.0,44.45,1583821263,32.74,96,100,10.38
Tarko-Sale,RU,64.92,77.78,1583821275,8.44,93,67,20.69
Binga,ZW,-17.62,27.34,1583821275,74.5,71,0,3.8
Karakol,KG,42.49,78.39,1583821275,29.5,67,0,1.97
Mount Darwin,ZW,-16.77,31.58,1583821275,67.3,90,33,2.28
Ondarroa,ES,43.32,-2.42,1583821275,42.64,100,20,2.24
